OIL_PTS,GAS_PTS,CUMUL_DAYS,BOPD,MCFD
10,42,30.4375,319.77353307750354,3978.450083261551
56,76,60.875,143.7382658767392,4189.233093276315
56,76,91.3125,137.3757363496559,3310.215081635196
56,76,121.75,112.32944099862682,3220.4836830642334
56,76,152.1875,110.05821734659423,3312.2363990667586
10,42,182.625,547.9762357528272,5311.74270986859
10,42,213.0625,526.2909605050273,4551.63104721405
10,42,243.5,413.91664676193614,4595.488841220643
10,42,273.9375,371.3473270387923,3749.853383870924
10,42,304.375,388.1603821358786,3471.6988247875993
10,42,334.8125,304.249784209829,3411.303791413182
10,42,365.25,286.6543585581565,3211.0182018608093
10,42,395.6875,241.71118849003145,2851.293098670894
10,42,426.125,184.9936683852175,2863.6260647253944
10,42,456.5625,150.54352283062727,2481.4799925110033
10,42,487.0,185.2122883760312,2237.506984024851
10,42,517.4375,179.41885608955735,2105.6663559833178
10,42,547.875,132.08408621961647,1970.555045819279
10,42,578.3125,111.88382861045368,2038.9143459663032
10,42,608.75,103.10352698165035,1935.2643541763487
10,42,639.1875,113.64574541866283,1806.0050120948908
10,42,669.625,108.39400007607806,1783.5140195121555
10,42,700.0625,93.99331579215057,1719.3229772275458
10,42,730.5,109.89780637754534,1644.058784209346
10,42,760.9375,133.32552018348372,1577.2266499912598
10,42,791.375,122.33627504390171,1528.3210956326382
10,42,821.8125,98.24833411990421,1451.9716111100004
10,42,852.25,75.31310085341913,1308.494099741342
10,42,882.6875,59.543715760253875,1255.1472041079667
10,42,913.125,58.96009148797359,1154.1313455750715
10,42,943.5625,63.41523495153498,979.00476988215
10,42,974.0,56.99819494654625,1007.3359799999828
10,42,1004.4375,48.42968767366381,827.7741544127599
10,42,1034.875,61.432198652098215,756.9402026880642
10,42,1065.3125,54.763531165897994,574.9529512054244
10,42,1095.75,51.6291793824127,592.6017604718759
10,42,1126.1875,46.31503398628007,492.6675847516835
10,42,1156.625,26.154087324382317,472.0081270335792
10,42,1187.0625,21.080458620323185,427.3224621836233
10,42,1217.5,38.87108018884284,257.8088146664523
56,76,1247.9375,7.173386976811688,140.06253147899915
10,42,1278.375,46.686254062301494,300.2698273304881
10,42,1308.8125,29.50886801466782,268.7198928152075
10,42,1339.25,54.988182478164546,233.37847728883392
10,42,1369.6875,37.2915656255435,164.57340214574194
10,42,1400.125,30.07465731245267,145.30692905549918
10,42,1430.5625,29.36598981727078,188.9153029056188
10,42,1461.0,10.865975657420249,149.88275005537668
56,76,1491.4375,2.55499974936557,70.71846966473795
56,76,1521.875,2.0612537242685787,49.10186703579224
56,76,1552.3125,3.7147103761517184,54.53613296504942
56,76,1582.75,2.3557233919529494,59.03705231088692
10,42,1613.1875,14.224685366634976,118.94770673728674
56,76,1643.625,1.6862057263355235,61.97798445493992
56,76,1674.0625,2.2250715242928814,41.57439205775349
56,76,1704.5,2.0872133183414494,36.14377870940962
56,76,1734.9375,1.7388317738094519,34.51782787848572
56,76,1765.375,2.0057023824097233,41.19502426356405
56,76,1795.8125,2.5610523334512414,49.25918838721642
56,76,1826.25,1.7279417220318831,36.5365611797932
56,76,1856.6875,2.055813963842601,35.55975840890535
56,76,1887.125,2.0326434626737533,42.638096631456925
56,76,1917.5625,1.2906295193322592,29.173012547008174
56,76,1948.0,0.059786466720859736,10.632208044916489
56,76,1978.4375,0.6808447638762525,13.23289324465684
56,76,2008.875,0.07105005330831486,4.415098763461489
56,76,2039.3125,0.10719832604412416,6.730338937879529
76,84,2069.75,0.8449904770185551,9.24481687783629
56,76,2100.1875,0.9174182321915741,43.517413439914996
56,76,2130.625,0.6618873387143014,38.26060567129259
56,76,2161.0625,0.491332337269588,33.322684109378
56,76,2191.5,0.08226848277804878,19.320189908896186
56,76,2221.9375,0.0,25.92452376954592
56,76,2252.375,0.15088472315539075,20.602932747510344
56,76,2282.8125,0.10883488227601956,21.686014660420323
56,76,2313.25,0.10553685554038258,16.642392988920893
56,76,2343.6875,0.11790445579902119,12.950743459605551
56,76,2374.125,0.09811629538519945,17.4336619853163
56,76,2404.5625,1.0075471677370902,23.155392931989077
56,76,2435.0,0.2638421388509565,36.004885200586
56,76,2465.4375,0.27422827592682925,28.862447323673422
56,76,2495.875,0.01869738244955654,20.37880994068562
56,76,2526.3125,0.15955099690288246,23.014045826457064
56,76,2556.75,0.22935455804789354,24.320944198993864
76,84,2587.1875,0.14052559019982494,13.110604573629047
76,84,2617.625,0.09919453425869995,6.519154014078714
76,84,2648.0625,0.01653242237644999,7.240457479243828
76,84,2678.5,0.0,9.031251220523577
