FORM_ID,FORM_NAME
201GRSD,GUNTER SD
201GSCD,GASCONADE
201JFRC,JEFFERSON CITY /DOLO/
201KDBD,KINDBLADE
201MKZH,MCKENZIE HILL
201MZRN,MAZARN
201NRCM,NEW RICHMOND /SD/
201NWTN,NEWTON /ORDOVICIAN/
201ONOT,ONEOTA /DOLO/
201PRDC,PRAIRIE DU CHIEN
201PWLL,POWELL
201RBDX,ROUBIDOUX /DOLO/
201SHKP,SHAKOPEE /DOLO/
201SMVL,SMITHVILLE
201TMIR,TURKEY MOUNTAIN / TYNER
201TNRD,TANYARD
201TRKM,TURKEY MOUNTAIN
201VNBR,VAN BUREN
201WLCK,WELLS CREEK
201WSCK,WEST SPRING CREEK
201WSCKL,WEST SPRING CREEK LOWER
202AMDPV,ARECI MIDDLE / DUNN A / DUNN C / PENTERS / VIOLA
202ANCL,ANCELL
202B12OC,BROMIDE 1 / BROMIDE 2 / OIL CREEK
202B12TM,BROMIDE 1 / BROMIDE 2 / TULIP CREEK U / TULIP CRK L / MCLISH
202B2MOC,BROMIDE 2 / MCLISH / OIL CREEK
202B2MVW,BROMIDE 2 / MCLISH LOWER / VIOLA / WOODFORD
202BBBM,BROMIDE 123 / MCLISH / OIL CREEK
202BD123,BROMIDE 1 / BROMIDE 2 / BROMIDE 3
202BD12T,BROMIDE 1 / BROMIDE 2 / TULIP CREEK
202BDVLG,BROMIDE / VIOLA / GIBSON
202BFKAS,BIG FORK / ARKANSAS/NOVACULITE
202BGDM,BIG DOLOMITE
202BGFK,BIG FORK
202BGFK1,BIG FORK 1
202BGFK2,BIG FORK 2
202BGFK3,BIG FORK 3
202BGFK4,BIG FORK 4
202BKRV,BLACK RIVER /LM/
202BMD23,BROMIDE 2 / BROMIDE 3
202BMDD,BROMIDE DENSE
202BMDD2,BROMIDE DENSE 2
202BRDS,BIRDSEYE
202BRDS1,BIRDSEYE 1
202BRDT,BRODITE
202BRDVT,BIRDSEYE / VIOLA / TUSSY
202BRGN,BURGEN
202BRGNL,BURGEN LOWER
202BRMBV,BROMIDE 1 / BROMIDE 3 / BROMIDE 2 / MCLISH BASAL/SD/ / VIOLA
202BRMCA,BROMIDE / MCLISH / ATOKA
202BRMD,BROMIDE
202BRMD1,BROMIDE 1
202BRMD2,BROMIDE 2
202BRMD3,BROMIDE 3
202BRMD4,BROMIDE 4
202BRMDA,BROMIDE A
202BRMDA,BROMIDE A
202BRMDB,BROMIDE B
202BRMDC,BROMIDE C
202BRMDD,BROMIDE D
202BRMDE,BROMIDE E
202BRMDF,BROMIDE F
202BRMDG,BROMIDE GREEN SHALE
202BRMDL,BROMIDE LOWER
202BRMDM,BROMIDE MIDDLE
202BRMDU,BROMIDE UPPER
202BRMDZ,BROMIDE ZONE
202BRND,BROWN DENSE
202BRSD2,BROMIDE SAND 2
202BRVHS,BROMIDE 3 / BROMIDE 2/BROMIDE 1/VIOLA/HUNTON/WOODFRD/SYCAMRE
202BSMCL,BASAL MCLISH
202BSWX,BURGESS / WILCOX
202BVHWM,BROMIDE 1 / BROMIDE 2 / VIOLA / HUNTON / WOODFORD / MISS SOL
202BVHWS,BROMIDE / VIOLA / HUNTON / WOODFORD / SYCAMORE
202BVSRO,BROMIDE / VIOLA / SPIRO / RED OAK
202CDAVL,CASEY DUNN A VIOLA
202CLSRV,CHIMNEYHILL / SYCAMORE / VIOLA
202CMPL,CHAMPLAINIAN
202CTYS,CATHEYS
202CZYN,CHAZYAN
202DBHR,DETRICK / BOOCH / HARTSHORNE
202DCPV,DECORAH / PLATTEVILLE
202DCRH,DECORAH
202DLMT,DOLOMITE
202DLMT1,DOLOMITE 1
202DLMT2,DOLOMITE 2
202DLMTU,DOLOMITE UPPER
202DNLT,DUNLEITH
202DQWL,DUBUQUE / WISE LAKE
202DRCK,DETRICK
202DRPNT,DUTCHER / PITKIN / TYNER
202DSEBD,DEESE / BROMIDE
202DTCN,DUTCHTOWN
202EVRN,EVERTON
202FITE,FITE
202GBRG,GUTTENBURG /LM/
202GLEN,GALENA /DOLO/
202GLND,GLENWOOD
202GNSS,GIBSON / SIMPSON
202GRSL,GREEN SH
202GRWS,GRANITE WASH
202HGER,HAGER
202HLUMP,HUNTON LOWER/HUNTRON UPPER/MISSISSIPPIAN
202HMHD,HAMMER HANDL/SS/
202HMHL,HARMONY HILL
202HMNY,HOMINY /SD/ ORDOVICIAN/
202HMNY1,HOMINY 1
202HMNY2,HOMINY 2
202HMNYL,HOMINY LOWER /SD/ ORDOVICIAN/
202HMNYM,HOMINY MIDDLE /SD/ ORDOVICIAN/
202HMNYU,HOMINY UPPER /SD/ ORDOVICIAN/
202HNLNV,HUNTON / LAYTON / VIOLA
202HNMGV,HUNTON / MANNING / VIOLA
202HNOGO,HUNTON / OSWEGO / OIL CREEK
202HPHBJ,HUNTON / PENTERS / HALE BASAL / JENKINS
202HRMG,HERMITAGE
202HRVL,HOGSHOOTER / VIOLA
202HSAIR,SMPDVIOLHNTNSCMRATOKINOLRDFKSKNRL
202HTNSM,HUNTON / BROMIDE / VIOLA / TULIP CREEK / WOODFORD / SYCAMORE
202JCHM,JOACHIM /DOLO/
202JONS,JOINS / LM/
202JSPR,JASPER
202JSSR,JOINS / SYCAMORE
202KMCK,KIMMSWICK /LM/
202KNTR,KINTER
202LWRY,LOWERY /ORDOVICIAN/
202MACY,MACY
202MBRWS,MCLISH/BROMIDE 3/BROMIDE 2/BROMIDE 1/WOODFORD/SYCAMORE
202MBVDH,MCLISH / BROMIDE / VIOLA / DORNICK HILLS
202MBVHM,MCLISH / BROMIDE / VIOLA / HUNTON / MISSISSIPPIAN / CHESTER
202MBVHN,MCLISH / BROMIDE / VIOLA / HUNTON / SYCAMORE
202MBVHS,MCLISH / BROMIDE / VIOLA / HUNTON / WOODFORD / SYCAMORE
202MBVSM,MCLISH/BROMIDE/VIOLA/SYCAMORE
202MBVWS,MCLISH/BRMIDE 3/BRMIDE 2/BRMIDE 1/VIOLA/HUNTN/WOODFRD/SYCAMR
202MCBBB,MCLISH / BROMIDE 3 / BROMIDE 2 / BROMIDE 1
202MCCN,MCCUNE
202MCGG,MCGREGOR
202MCKE,MCKEE /SD/
202MCLB,MCLISH BASAL /SD/
202MCLD,MCLISH DENSE
202MCLS,MCLISH
202MCLS1,MCLISH 1
202MCLS2,MCLISH 2
202MCLS3,MCLISH 3
202MCLS4,MCLISH 4
202MCLSA,MCLISH A
202MCLSB,MCLISH B
202MCLSF,MCLISH F
202MCLSL,MCLISH LOWER /BASAL/
202MCLSM,MCLISH MIDDLE
202MCLSU,MCLISH UPPER
202MCOC,MCLISH OSTRACODAL
202MFLN,MIFFLIN /LM/
202MGNL,MAGNOLIA/DOLO/
202MHDCL,MCLISH DENSE / CROMWELL
202MHSD,MCLISH/SD/
202MHSH,MCLISH/SH/
202MIXDZ,MIXED ZONE
202MLLWM,MARSHALL LOWER / WOODFORD / MISSISSIPPIAN
202MLMN,MOLLMAN
